FRAME_NR,ROBOT_ID,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,POSITION X,POSITION Y,POSITION THETA,SPEED X,SPEED Y,SPEED W,HAS GOAL,X_MIN,X_MAX,Y_MIN,Y_MAX,Y_MAX,TIMESTAMP
1,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.001827239990234375
2,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.3133821487426758
3,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.3612987995147705
4,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.408052921295166
5,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.45522379875183105
6,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.5027627944946289
7,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.5490002632141113
8,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.5945212841033936
9,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.6398487091064453
10,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.7626457214355469
11,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.8116724491119385
12,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.85801100730896
13,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.9038012027740479
14,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.9502120018005371
15,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,0.9958531856536865
16,0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,-9.863857910327818e-06,1.1794544154234946e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0,1.0417356491088867
