FRAME_NR,ROBOT_ID,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,POSITION X,POSITION Y,POSITION THETA,SPEED X,SPEED Y,SPEED W,HAS GOAL,X_MIN,X_MAX,Y_MIN,Y_MAX,TIMESTAMP
1,0,-1.1673897619879528e-05,3.538363246270484e-05,0.0,-1.1673897619879528e-05,3.538363246270484e-05,0.0,0.0,0.0,0.0,False,0,0,0,0,0.0018093585968017578
2,0,-0.06406202235245509,0.007589324390304275,-0.7626921086388201,-0.06406202235245509,0.007589324390304275,-0.7626921086388201,-0.05235765269858765,-0.043463733952137845,-0.6564052367165742,False,0,0,0,0,4.4009108543396
3,0,-0.06716582578012358,0.00785039820627726,-0.7954694065032704,-0.06716582578012358,0.00785039820627726,-0.7954694065032704,-0.02975947013431978,-0.024938093600043086,-0.5559830148496888,False,0,0,0,0,4.443077087402344
4,0,-0.06923609722786633,0.008172762038381048,-0.8203089812504147,-0.06923609722786633,0.008172762038381048,-0.8203089812504147,-0.0315755689247454,-0.022771813521466074,-0.7131873977349613,False,0,0,0,0,4.482963562011719
5,0,-0.071260972055781,0.008471763664664275,-0.8488075071618979,-0.071260972055781,0.008471763664664275,-0.8488075071618979,-0.011966354656027427,-0.02163287562909287,-0.4887694322544621,False,0,0,0,0,4.522420406341553
6,0,-0.0727128775085839,0.008714046482474154,-0.8709175058838853,-0.07253695355293996,0.008578812173311847,-0.8683107592837727,-0.025882893174024972,-0.0017297030780293078,-0.5435503878457212,True,311,500,35,91,4.5615904331207275
7,0,-0.07397829943073199,0.010157234343011575,-0.8911322356931138,-0.07397829943073199,0.010157234343011575,-0.8911322356931138,-0.02930340202948691,-0.0033710997570359775,-0.4175883386070154,True,297,467,38,92,4.599620580673218
8,0,-0.07461866252706306,0.011201506831828186,-0.8985736881094967,-0.07461866252706306,0.011201506831828186,-0.8985736881094967,-0.015245507835470991,0.007250959456168995,-0.07013463310441304,True,275,466,38,93,4.6377763748168945
9,0,-0.07469947789033812,0.01134103685478759,-0.8998992299369029,-0.07469947789033812,0.01134103685478759,-0.8998992299369029,0.007090991204907441,-0.009250828169699745,0.05227441263849197,True,263,443,36,93,4.675819635391235
10,0,-0.07464264896981744,0.011269475418679299,-0.8992609825437308,-0.07464264896981744,0.011269475418679299,-0.8992609825437308,0.0004916161023830448,0.0029167340072786805,-0.04470629659701271,True,239,417,37,92,4.714000701904297
