FRAME_NR,ROBOT_ID,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,POSITION X,POSITION Y,POSITION THETA,SPEED X,SPEED Y,SPEED W,HAS GOAL,X_MIN,X_MAX,Y_MIN,Y_MAX,TIMESTAMP
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,0.001688241958618164
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.645954847335815
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.688882112503052
4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.728899717330933
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.768305063247681
6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.807569980621338
7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.84710693359375
8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.886224985122681
9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.9257025718688965
10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,4.964741468429565
11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.004222393035889
12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.043317079544067
13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.08241081237793
14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.121590614318848
15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.160880088806152
16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.2001001834869385
17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.239184856414795
18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.278385400772095
19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.317379713058472
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.356563329696655
21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.395603179931641
22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.434518814086914
23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.4734742641448975
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.51262354850769
25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.551694869995117
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.590760707855225
27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.630072116851807
28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.669126033782959
29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.7084925174713135
30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.747786998748779
31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.78697943687439
32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.82603907585144
33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.865198612213135
34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.904402017593384
35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.943865776062012
36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,5.983558893203735
37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.0238635540008545
38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.063173770904541
39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.102430820465088
40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.14141583442688
41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.180837869644165
42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.220213890075684
43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.259556770324707
44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.2985851764678955
45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.33797025680542
46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.377152442932129
47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.4163970947265625
48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.456345319747925
49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.495492696762085
50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.534797430038452
51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.574636936187744
52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.613699674606323
53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.652830600738525
54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.6921470165252686
55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.73169469833374
56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.771015167236328
57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.810389518737793
58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.84944748878479
59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.88858962059021
60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.92765736579895
61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,6.966691970825195
62,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.005546569824219
63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.044754981994629
64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.0839478969573975
65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.123117923736572
66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.162408828735352
67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.201521158218384
68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.240578889846802
69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.28015398979187
70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.319201707839966
71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.363329648971558
72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.4023613929748535
73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.441572427749634
74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.480671167373657
75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.520338535308838
76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.559415102005005
77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.598547697067261
78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.638227939605713
79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.677332401275635
80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.716393947601318
81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.756155490875244
82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.795252084732056
83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,7.834414958953857
84,0,0.00030538604284662853,0.00020083146832800103,0.004126852555030803,0.5311280650255172,-2.4946576649841523,0.6352268525550308,-0.0042423077844932575,-0.009535030504401076,0.5793770609345669,False,0,0,0,0,7.8735716342926025
85,0,0.0020581964006488864,0.002132741907213369,0.05704711269245442,0.5312711368918401,-2.493908858712736,0.6642247787804385,0.023376354274840853,0.03677363364445539,1.4807217458905102,False,0,0,0,0,7.913104295730591
86,0,0.004309494584849771,0.005574119927248927,0.11604544738838626,0.5310638150033183,-2.4924424754254213,0.6791678877879401,0.05512699312654271,0.07786907953504305,1.7690609643763922,False,0,0,0,0,7.952386856079102
87,0,0.009238620194632431,0.013300769018825369,0.19315434298718434,0.5313889589718976,-2.489685789853384,0.6826563797553543,0.11888640743306346,0.14372895768011174,1.767229976820467,False,0,0,0,0,7.991507291793823
88,0,0.014445381730643823,0.023063984397483056,0.25188942833760963,0.5310430289551935,-2.482935241135391,0.7379350853504253,0.18968655749483715,0.2042517986808044,1.7413050053956192,False,0,0,0,0,8.03034257888794
89,0,0.020329605546529742,0.03467936529970365,0.30323911124329217,0.532,-2.486,0.7958,0.2758909680872497,0.2748067984032558,1.3610915127973569,False,0,0,0,0,8.068551540374756
90,0,0.029484346202082828,0.0523650206067831,0.3567550739569543,0.532,-2.478,0.8541,0.3534236386144339,0.31741552355871033,1.5840339936803385,False,0,0,0,0,8.106803178787231
91,0,0.03982162431791331,0.07470724841597347,0.3976021212655195,0.5323388880905906,-2.459427718107309,0.924901475240315,0.48367342847883843,0.40996193504146206,0.7822121651564324,True,409,609,31,95,8.14486050605774
92,0,0.051557116819569225,0.09903501800338882,0.43821795776543093,0.530468079527272,-2.4449825434970642,1.013273060751128,0.5926719231214428,0.4926147772469774,1.3999932193051237,False,0,0,0,0,8.183225631713867
93,0,0.06504843275928557,0.1305077658064324,0.48179011020931395,0.528881212401772,-2.424128047372022,1.0365207340082747,0.6777227316587192,0.4717635503861306,0.8627155900909088,False,0,0,0,0,8.221795558929443
94,0,0.07993178699385242,0.16051659885610323,0.520407717403417,0.5283525379819997,-2.41393942542044,1.0347146337195714,0.8037653887040717,0.518172089102319,1.4014376219358449,False,0,0,0,0,8.259891748428345
95,0,0.09896109633953104,0.20302388331287932,0.5432141926743225,0.5251715910196062,-2.3894512833966335,1.0754944089303016,0.8738890049459415,0.5784059045233907,0.4547729827668936,True,539,640,40,91,8.298160314559937
96,0,0.1159290625197716,0.23902894037422445,0.5683862531754089,0.5245146523391109,-2.367084042143721,1.1074645891831012,0.9380148006414355,0.5669233333139375,0.8302261041618018,False,0,0,0,0,8.336610317230225
97,0,0.13495710229482882,0.27825803313639313,0.5908107571058953,0.5211646502327365,-2.345072953600166,1.1576884400835012,1.0216307393080666,0.5049729926433355,0.7989062937631315,True,595,637,37,83,8.37511920928955
98,0,0.1626989006950575,0.3273062025284183,0.6197517170343271,0.5208851333904138,-2.3024127736674034,1.177465498959138,1.1048003932784547,0.4961939589611212,0.7656717348888575,False,0,0,0,0,8.413346529006958
99,0,0.1855478626276265,0.366811598402371,0.6422018201232715,0.5188162629955697,-2.2773314298468246,1.2024095701893303,1.1506208864854603,0.4583256901721436,0.334923101549089,False,0,0,0,0,8.451896905899048
100,0,0.2087855045157723,0.40690687856276864,0.6787665100560906,0.5171967926358854,-2.2310173196058125,1.2389742601221496,1.1680536412871663,0.42798240177519614,0.8058066713262413,False,0,0,0,0,8.49000859260559
101,0,0.23859064486714698,0.46033649855024966,0.7130866487067078,0.5081279845861687,-2.189270553385593,1.2644369013846917,1.1978405052963814,0.4294323292399235,0.29640580266390293,False,0,0,0,0,8.52830958366394
102,0,0.262294573992925,0.5024729718558986,0.7456178235279887,0.5067282807076464,-2.1395481223845922,1.2902426920649248,1.2031919110575742,0.37779457263275507,0.6606281284637525,False,0,0,0,0,8.566699028015137
103,0,0.2857257489470651,0.5449238062146211,0.7727606372624976,0.5066925854626539,-2.115327189098571,1.2848284756951027,1.2475337955895027,0.36480201358824105,0.2922436913532773,False,0,0,0,0,8.604965209960938
104,0,0.31597848856225697,0.5994023326974373,0.8061563807655028,0.5017446116330075,-2.0844049263471685,1.3402084086691075,1.244332095465429,0.31550942572413737,0.4369511839291551,False,0,0,0,0,8.642934799194336
105,0,0.33986678373698265,0.6407837559264191,0.8247786305068748,0.498,-2.05,1.3715,1.2791858306569606,0.30295144105273974,0.4510894426522576,False,0,0,0,0,8.681291103363037
106,0,0.36718096273532086,0.689342247303897,0.8414425861729935,0.491,-1.965,1.4303,1.281523760083934,0.2802110315131462,0.31303794161103626,False,0,0,0,0,8.719372987747192
107,0,0.39254487353801915,0.7323122136395603,0.8570509666212719,0.4867994938427317,-1.8948976257836856,1.4448445212166101,1.311782003010862,0.21422615475345436,0.14710097294522884,False,0,0,0,0,8.75740361213684
108,0,0.42310596632491704,0.7807851650049468,0.8714257067786015,0.48550968505195635,-1.8447386347123729,1.4577660275183202,1.3080332379500674,0.18043060693061397,0.2191064745237914,False,0,0,0,0,8.795877933502197
109,0,0.4505676131517601,0.8232345893322344,0.8784274249723625,0.479753183685833,-1.832653478362333,1.499263598988024,1.3643331267461885,0.13345855142687924,0.17229673942587986,False,0,0,0,0,8.834239721298218
110,0,0.487154987364228,0.8765490781733929,0.8841825964160823,0.47471871869307947,-1.752690552043043,1.5213805979717199,1.3553714714346992,0.09823234015743743,-0.15617304247969077,False,0,0,0,0,8.872565269470215
111,0,0.5175002011307543,0.9185868238693309,0.8904254167599885,0.4698888973865283,-1.6849085206601366,1.5217689450353264,1.3449847296611546,0.09664531590963477,0.1577949221973527,False,0,0,0,0,8.91133999824524
112,0,0.5524037837575237,0.965799740695117,0.8969183136187816,0.47050829058063587,-1.6444307092534136,1.526293839844616,1.3922263160088812,0.060151776094668485,-0.01646965560992797,False,0,0,0,0,8.949734926223755
113,0,0.5834034638461284,1.0078376961189306,0.8985195278877302,0.47214832392599687,-1.6156178853555752,1.5295626848653563,1.372657360334072,0.06534509972594665,0.18376875473984544,False,0,0,0,0,8.988410472869873
